Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
2.002289240360260010e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.496000000000000085e+01,2.917999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.012295317649841309e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.521999999999999886e+01,2.917999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.022294862270355225e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.515999999999999659e+01,2.944000000000000128e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.032301366329193115e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.532000000000000028e+01,2.933999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.042307448387145996e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.538000000000000256e+01,2.950000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.052349660396575928e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.545000000000000284e+01,2.950000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.062362315654754639e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.545000000000000284e+01,2.978999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.072362208366394043e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.553999999999999915e+01,2.957000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.082375028133392334e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.570000000000000284e+01,2.989000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.092374765872955322e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.557000000000000028e+01,2.985999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.102381048202514648e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.564000000000000057e+01,3.005000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.112350528240203857e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.564000000000000057e+01,2.998999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.122356889247894287e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.545000000000000284e+01,2.985999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.132369103431701660e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.550999999999999801e+01,3.028000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.142366559505462646e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.538000000000000256e+01,3.012000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.152529158592224121e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.540999999999999659e+01,3.033999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.162531824111938477e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.538000000000000256e+01,3.041000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.172694089412689209e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.532000000000000028e+01,3.057000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.182700331211090088e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.515999999999999659e+01,3.050000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.192722055912017822e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.509000000000000341e+01,3.060000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.202728309631347656e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.509000000000000341e+01,3.078999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.212712056636810303e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.492999999999999972e+01,3.085999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.222716972827911377e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.482999999999999829e+01,3.085999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.232722096443176270e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.477000000000000313e+01,3.101999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.242728374004364014e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.467000000000000171e+01,3.110999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.252734649181365967e+02,5.000000000000000000e+00,5.000000000000000000e+01,5.450999999999999801e+01,3.107999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
